,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,ActiveLearner,PassStatus
2020,23.0,81.0,Medium,No,Low,Yes,Male,19.0,2,5.0,1,90.0,54.0,1,2,D,No,Fail
2021,23.0,81.0,Medium,No,Low,Yes,Male,27.0,0,6.0,1,79.0,57.0,1,2,C,No,Pass
2025,23.0,81.0,Medium,No,Medium,Yes,Male,20.0,1,3.0,1,59.0,57.0,1,2,C,No,Pass
2026,23.0,81.0,Medium,No,Medium,Yes,Male,19.0,2,5.0,1,90.0,54.0,1,2,D,No,Fail
2027,23.0,81.0,Medium,No,Medium,Yes,Male,27.0,0,6.0,1,79.0,57.0,1,2,C,No,Pass
2028,23.0,81.0,Medium,No,High,Yes,Male,20.0,1,3.0,1,59.0,57.0,1,2,C,No,Pass
2029,23.0,81.0,Medium,No,High,Yes,Male,19.0,2,5.0,1,90.0,54.0,1,2,D,No,Fail
2030,23.0,81.0,Medium,No,High,Yes,Male,27.0,0,6.0,1,79.0,57.0,1,2,C,No,Pass
2031,23.0,81.0,High,No,Low,Yes,Male,20.0,1,3.0,1,59.0,57.0,1,2,C,No,Pass
2032,23.0,81.0,High,No,Low,Yes,Male,19.0,2,5.0,1,90.0,54.0,1,2,D,No,Fail
2033,23.0,81.0,High,No,Low,Yes,Male,27.0,0,6.0,1,79.0,57.0,1,2,C,No,Pass
2034,23.0,74.0,High,Yes,Low,Yes,Male,22.0,2,4.0,1,61.0,84.0,1,2,B,Yes,Pass
2035,23.0,74.0,High,Yes,Low,Yes,Male,28.0,2,14.0,1,72.0,56.0,0,2,C,Yes,Pass
2036,23.0,74.0,High,Yes,Low,Yes,Male,26.0,3,1.0,1,65.0,62.0,1,2,C,Yes,Pass
2037,23.0,74.0,Low,No,Low,Yes,Male,22.0,2,4.0,1,61.0,84.0,1,2,B,No,Pass
2038,23.0,74.0,Low,No,Low,Yes,Male,28.0,2,14.0,1,72.0,56.0,0,2,C,No,Pass
2039,23.0,74.0,Low,No,Low,Yes,Male,26.0,3,1.0,1,65.0,62.0,1,2,C,No,Pass
2043,23.0,74.0,Medium,No,Medium,Yes,Male,22.0,2,4.0,1,61.0,84.0,1,2,B,No,Pass
2044,23.0,74.0,Medium,No,Medium,Yes,Male,28.0,2,14.0,1,72.0,56.0,0,2,C,No,Pass
2045,23.0,74.0,Medium,No,Medium,Yes,Male,26.0,3,1.0,1,65.0,62.0,1,2,C,No,Pass
2046,23.0,74.0,High,Yes,Medium,Yes,Male,22.0,2,4.0,1,61.0,84.0,1,2,B,Yes,Pass
2047,23.0,74.0,High,Yes,Medium,Yes,Male,28.0,2,14.0,1,72.0,56.0,0,2,C,Yes,Pass
2048,23.0,74.0,High,Yes,Medium,Yes,Male,26.0,3,1.0,1,65.0,62.0,1,2,C,Yes,Pass
2049,23.0,74.0,High,Yes,Low,No,Male,22.0,2,4.0,1,61.0,84.0,1,2,B,Yes,Pass
2050,23.0,74.0,High,Yes,Low,No,Male,28.0,2,14.0,1,72.0,56.0,0,2,C,Yes,Pass
2051,23.0,74.0,High,Yes,Low,No,Male,26.0,3,1.0,1,65.0,62.0,1,2,C,Yes,Pass
2052,23.0,74.0,Medium,Yes,Medium,No,Male,22.0,2,4.0,1,61.0,84.0,1,2,B,Yes,Pass
2053,23.0,74.0,Medium,Yes,Medium,No,Male,28.0,2,14.0,1,72.0,56.0,0,2,C,Yes,Pass
2054,23.0,74.0,Medium,Yes,Medium,No,Male,26.0,3,1.0,1,65.0,62.0,1,2,C,Yes,Pass
2055,43.0,86.0,Medium,Yes,Medium,Yes,Female,27.0,3,2.0,1,56.0,58.0,0,0,C,Yes,Pass
2056,23.0,77.0,High,Yes,Low,Yes,Female,23.0,3,10.0,0,55.0,64.0,0,2,C,Yes,Pass
2057,23.0,77.0,High,Yes,Low,Yes,Female,22.0,3,0.0,0,90.0,78.0,0,2,B,Yes,Pass
2058,23.0,77.0,High,Yes,Low,Yes,Female,29.0,0,16.0,0,52.0,91.0,1,1,A,Yes,Pass
2059,23.0,77.0,High,Yes,Low,Yes,Female,22.0,2,19.0,1,59.0,51.0,1,1,D,Yes,Fail
2060,23.0,77.0,High,Yes,Medium,Yes,Female,23.0,3,10.0,0,55.0,64.0,0,2,C,Yes,Pass
2061,23.0,77.0,High,Yes,Medium,Yes,Female,22.0,3,0.0,0,90.0,78.0,0,2,B,Yes,Pass
2062,23.0,77.0,High,Yes,Medium,Yes,Female,29.0,0,16.0,0,52.0,91.0,1,1,A,Yes,Pass
2063,23.0,77.0,High,Yes,Medium,Yes,Female,22.0,2,19.0,1,59.0,51.0,1,1,D,Yes,Fail
2064,23.0,77.0,Medium,Yes,Medium,Yes,Female,23.0,3,10.0,0,55.0,64.0,0,2,C,Yes,Pass
2065,23.0,77.0,Medium,Yes,Medium,Yes,Female,22.0,3,0.0,0,90.0,78.0,0,2,B,Yes,Pass
2066,23.0,77.0,Medium,Yes,Medium,Yes,Female,29.0,0,16.0,0,52.0,91.0,1,1,A,Yes,Pass
2067,23.0,77.0,Medium,Yes,Medium,Yes,Female,22.0,2,19.0,1,59.0,51.0,1,1,D,Yes,Fail
2068,27.0,89.0,High,Yes,Medium,Yes,Male,27.0,3,19.0,0,51.0,67.0,1,2,C,Yes,Pass
2069,27.0,89.0,High,Yes,Medium,Yes,Male,18.0,0,17.0,1,77.0,75.0,0,0,B,Yes,Pass
2070,27.0,89.0,High,Yes,Medium,Yes,Male,25.0,2,20.0,1,98.0,97.0,1,0,A,Yes,Pass
2071,27.0,89.0,Medium,No,Medium,Yes,Male,27.0,3,19.0,0,51.0,67.0,1,2,C,No,Pass
2072,27.0,89.0,Medium,No,Medium,Yes,Male,18.0,0,17.0,1,77.0,75.0,0,0,B,No,Pass
2073,27.0,89.0,Medium,No,Medium,Yes,Male,25.0,2,20.0,1,98.0,97.0,1,0,A,No,Pass
2074,26.0,94.0,High,No,High,Yes,Male,29.0,2,13.0,1,100.0,86.0,0,2,A,No,Pass
2075,26.0,94.0,High,No,High,Yes,Male,21.0,1,20.0,0,72.0,74.0,0,2,B,No,Pass
2076,26.0,94.0,Medium,Yes,Low,Yes,Male,29.0,2,13.0,1,100.0,86.0,0,2,A,Yes,Pass
2077,26.0,94.0,Medium,Yes,Low,Yes,Male,21.0,1,20.0,0,72.0,74.0,0,2,B,Yes,Pass
2078,26.0,94.0,Low,Yes,Low,Yes,Male,29.0,2,13.0,1,100.0,86.0,0,2,A,Yes,Pass
2079,26.0,94.0,Low,Yes,Low,Yes,Male,21.0,1,20.0,0,72.0,74.0,0,2,B,Yes,Pass
2082,24.0,66.0,Low,No,Low,Yes,Female,22.0,2,3.0,0,56.0,84.0,0,0,B,No,Pass
2083,18.0,78.0,Medium,Yes,Medium,No,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,Yes,Pass
2084,18.0,78.0,Medium,Yes,Low,Yes,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,Yes,Pass
2085,18.0,78.0,High,Yes,Low,Yes,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,Yes,Pass
2086,18.0,78.0,High,Yes,High,Yes,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,Yes,Pass
2087,18.0,78.0,Medium,No,Medium,Yes,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,No,Pass
2088,18.0,78.0,High,No,High,Yes,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,No,Pass
2089,18.0,78.0,Low,Yes,High,Yes,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,Yes,Pass
2090,18.0,78.0,Medium,No,Low,No,Male,24.0,2,15.0,1,76.0,83.0,0,2,B,No,Pass
2091,25.0,76.0,Medium,Yes,High,Yes,Female,22.0,2,20.0,1,98.0,68.0,0,1,C,Yes,Pass
2092,25.0,76.0,Medium,Yes,High,Yes,Female,22.0,2,20.0,1,56.0,83.0,0,2,B,Yes,Pass
2093,25.0,76.0,High,Yes,Medium,Yes,Female,22.0,2,20.0,1,98.0,68.0,0,1,C,Yes,Pass
2094,25.0,76.0,High,Yes,Medium,Yes,Female,22.0,2,20.0,1,56.0,83.0,0,2,B,Yes,Pass
2095,25.0,76.0,High,No,High,Yes,Female,22.0,2,20.0,1,98.0,68.0,0,1,C,No,Pass
2096,25.0,76.0,High,No,High,Yes,Female,22.0,2,20.0,1,56.0,83.0,0,2,B,No,Pass
2099,25.0,76.0,Low,Yes,Medium,Yes,Female,22.0,2,20.0,1,98.0,68.0,0,1,C,Yes,Pass
2100,25.0,76.0,Low,Yes,Medium,Yes,Female,22.0,2,20.0,1,56.0,83.0,0,2,B,Yes,Pass
2101,15.0,87.0,High,Yes,Medium,Yes,Male,29.0,0,6.0,0,59.0,59.0,1,1,C,Yes,Pass
2102,15.0,87.0,High,Yes,Medium,Yes,Male,18.0,2,10.0,0,95.0,87.0,1,2,A,Yes,Pass
2103,15.0,87.0,High,Yes,Medium,Yes,Male,24.0,2,11.0,1,52.0,97.0,1,2,A,Yes,Pass
2104,15.0,87.0,Medium,No,Medium,Yes,Male,29.0,0,6.0,0,59.0,59.0,1,1,C,No,Pass
2105,15.0,87.0,Medium,No,Medium,Yes,Male,18.0,2,10.0,0,95.0,87.0,1,2,A,No,Pass
2106,15.0,87.0,Medium,No,Medium,Yes,Male,24.0,2,11.0,1,52.0,97.0,1,2,A,No,Pass
2107,15.0,87.0,Low,Yes,High,Yes,Male,29.0,0,6.0,0,59.0,59.0,1,1,C,Yes,Pass
2108,15.0,87.0,Low,Yes,High,Yes,Male,18.0,2,10.0,0,95.0,87.0,1,2,A,Yes,Pass
2109,15.0,87.0,Low,Yes,High,Yes,Male,24.0,2,11.0,1,52.0,97.0,1,2,A,Yes,Pass
2110,15.0,87.0,Medium,Yes,Medium,Yes,Male,29.0,0,6.0,0,59.0,59.0,1,1,C,Yes,Pass
2111,15.0,87.0,Medium,Yes,Medium,Yes,Male,18.0,2,10.0,0,95.0,87.0,1,2,A,Yes,Pass
2112,15.0,87.0,Medium,Yes,Medium,Yes,Male,24.0,2,11.0,1,52.0,97.0,1,2,A,Yes,Pass
2116,19.0,70.0,Low,No,High,Yes,Male,26.0,3,8.0,1,56.0,77.0,1,2,B,No,Pass
2117,19.0,70.0,Low,No,High,Yes,Male,23.0,0,6.0,0,53.0,91.0,1,0,A,No,Pass
2118,19.0,70.0,Medium,No,Low,No,Male,26.0,3,8.0,1,56.0,77.0,1,2,B,No,Pass
2119,19.0,70.0,Medium,No,Low,No,Male,23.0,0,6.0,0,53.0,91.0,1,0,A,No,Pass
2120,19.0,70.0,Low,Yes,Low,Yes,Male,26.0,3,8.0,1,56.0,77.0,1,2,B,Yes,Pass
2121,19.0,70.0,Low,Yes,Low,Yes,Male,23.0,0,6.0,0,53.0,91.0,1,0,A,Yes,Pass
2122,19.0,70.0,Medium,Yes,Low,Yes,Male,26.0,3,8.0,1,56.0,77.0,1,2,B,Yes,Pass
2123,19.0,70.0,Medium,Yes,Low,Yes,Male,23.0,0,6.0,0,53.0,91.0,1,0,A,Yes,Pass
2124,19.0,70.0,Low,No,Medium,Yes,Male,26.0,3,8.0,1,56.0,77.0,1,2,B,No,Pass
2125,19.0,70.0,Low,No,Medium,Yes,Male,23.0,0,6.0,0,53.0,91.0,1,0,A,No,Pass
2126,19.0,70.0,Medium,No,Medium,Yes,Male,26.0,3,8.0,1,56.0,77.0,1,2,B,No,Pass
2127,19.0,70.0,Medium,No,Medium,Yes,Male,23.0,0,6.0,0,53.0,91.0,1,0,A,No,Pass
2128,19.0,70.0,High,Yes,Medium,Yes,Male,26.0,3,8.0,1,56.0,77.0,1,2,B,Yes,Pass
2129,19.0,70.0,High,Yes,Medium,Yes,Male,23.0,0,6.0,0,53.0,91.0,1,0,A,Yes,Pass
2130,20.0,95.0,Medium,Yes,Low,No,Female,26.0,1,1.0,1,71.0,55.0,1,0,C,Yes,Pass
2131,20.0,95.0,Low,Yes,Low,No,Female,26.0,1,1.0,1,71.0,55.0,1,0,C,Yes,Pass
2133,20.0,95.0,Medium,Yes,Low,Yes,Female,26.0,1,1.0,1,71.0,55.0,1,0,C,Yes,Pass
2134,20.0,95.0,Medium,No,Medium,Yes,Female,26.0,1,1.0,1,71.0,55.0,1,0,C,No,Pass
2135,20.0,95.0,Medium,Yes,Medium,Yes,Female,26.0,1,1.0,1,71.0,55.0,1,0,C,Yes,Pass
2136,20.0,95.0,Medium,No,High,Yes,Female,26.0,1,1.0,1,71.0,55.0,1,0,C,No,Pass
2137,20.0,95.0,Low,No,High,Yes,Female,26.0,1,1.0,1,71.0,55.0,1,0,C,No,Pass
2138,10.0,64.0,High,No,High,Yes,Female,19.0,3,17.0,0,61.0,65.0,0,2,C,No,Pass
2139,10.0,64.0,High,No,High,Yes,Female,19.0,1,9.0,1,62.0,68.0,1,0,C,No,Pass
2140,10.0,64.0,High,No,High,Yes,Female,23.0,2,13.0,1,67.0,59.0,0,1,C,No,Pass
2141,10.0,64.0,High,No,High,Yes,Female,23.0,0,1.0,1,62.0,40.0,0,2,D,No,Fail
2142,10.0,64.0,Low,No,Low,Yes,Female,19.0,3,17.0,0,61.0,65.0,0,2,C,No,Pass
2143,10.0,64.0,Low,No,Low,Yes,Female,19.0,1,9.0,1,62.0,68.0,1,0,C,No,Pass
2144,10.0,64.0,Low,No,Low,Yes,Female,23.0,2,13.0,1,67.0,59.0,0,1,C,No,Pass
2145,10.0,64.0,Low,No,Low,Yes,Female,23.0,0,1.0,1,62.0,40.0,0,2,D,No,Fail
2146,17.0,69.0,Medium,Yes,Medium,Yes,Female,29.0,1,2.0,0,78.0,97.0,1,2,A,Yes,Pass
2147,17.0,69.0,Medium,No,Medium,Yes,Female,29.0,1,2.0,0,78.0,97.0,1,2,A,No,Pass
2148,27.0,98.0,High,Yes,Low,Yes,Female,28.0,3,4.0,0,73.0,42.0,1,1,D,Yes,Fail
2149,27.0,98.0,High,Yes,Low,Yes,Female,19.0,3,1.0,0,90.0,84.0,1,1,B,Yes,Pass
2150,27.0,98.0,Medium,Yes,Low,No,Female,28.0,3,4.0,0,73.0,42.0,1,1,D,Yes,Fail
2151,27.0,98.0,Medium,Yes,Low,No,Female,19.0,3,1.0,0,90.0,84.0,1,1,B,Yes,Pass
2152,27.0,98.0,High,No,Medium,Yes,Female,28.0,3,4.0,0,73.0,42.0,1,1,D,No,Fail
2153,27.0,98.0,High,No,Medium,Yes,Female,19.0,3,1.0,0,90.0,84.0,1,1,B,No,Pass
2156,20.0,98.0,Low,No,Low,Yes,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,No,Pass
2157,20.0,98.0,Medium,Yes,High,No,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,Yes,Pass
2158,20.0,98.0,Low,Yes,Low,Yes,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,Yes,Pass
2159,20.0,98.0,Medium,Yes,Low,No,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,Yes,Pass
2160,20.0,98.0,High,Yes,Medium,No,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,Yes,Pass
2161,20.0,98.0,Medium,No,Medium,Yes,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,No,Pass
2162,20.0,98.0,High,No,Medium,Yes,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,No,Pass
2163,20.0,98.0,High,Yes,Medium,Yes,Female,27.0,3,7.0,1,88.0,71.0,0,2,B,Yes,Pass
2164,14.0,64.0,Medium,Yes,Medium,Yes,Male,21.0,2,12.0,0,53.0,58.0,1,2,C,Yes,Pass
2165,14.0,64.0,High,No,Low,Yes,Male,21.0,2,12.0,0,53.0,58.0,1,2,C,No,Pass
2166,16.0,61.0,Medium,No,Low,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,No,Pass
2167,16.0,61.0,Medium,No,Low,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,No,Fail
2168,16.0,61.0,Medium,No,Low,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,No,Pass
2169,16.0,61.0,Low,No,High,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,No,Pass
2170,16.0,61.0,Low,No,High,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,No,Fail
2171,16.0,61.0,Low,No,High,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,No,Pass
2172,16.0,61.0,Low,Yes,Medium,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,Yes,Pass
2173,16.0,61.0,Low,Yes,Medium,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,Yes,Fail
2174,16.0,61.0,Low,Yes,Medium,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,Yes,Pass
2175,16.0,61.0,High,No,Medium,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,No,Pass
2176,16.0,61.0,High,No,Medium,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,No,Fail
2177,16.0,61.0,High,No,Medium,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,No,Pass
2178,16.0,61.0,High,Yes,Medium,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,Yes,Pass
2179,16.0,61.0,High,Yes,Medium,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,Yes,Fail
2180,16.0,61.0,High,Yes,Medium,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,Yes,Pass
2181,16.0,61.0,High,No,High,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,No,Pass
2182,16.0,61.0,High,No,High,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,No,Fail
2183,16.0,61.0,High,No,High,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,No,Pass
2184,16.0,61.0,Medium,Yes,Low,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,Yes,Pass
2185,16.0,61.0,Medium,Yes,Low,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,Yes,Fail
2186,16.0,61.0,Medium,Yes,Low,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,Yes,Pass
2187,16.0,61.0,High,Yes,High,Yes,Male,25.0,3,7.0,1,77.0,68.0,1,1,C,Yes,Pass
2188,16.0,61.0,High,Yes,High,Yes,Male,25.0,1,15.0,0,84.0,53.0,1,2,D,Yes,Fail
2189,16.0,61.0,High,Yes,High,Yes,Male,25.0,0,18.0,0,91.0,78.0,0,0,B,Yes,Pass
2190,24.0,66.0,Low,Yes,High,Yes,Male,19.0,1,11.0,1,69.0,62.0,1,1,C,Yes,Pass
2191,24.0,66.0,Low,Yes,High,Yes,Male,21.0,3,10.0,1,69.0,64.0,1,2,C,Yes,Pass
2192,24.0,66.0,High,No,Medium,Yes,Male,19.0,1,11.0,1,69.0,62.0,1,1,C,No,Pass
2193,24.0,66.0,High,No,Medium,Yes,Male,21.0,3,10.0,1,69.0,64.0,1,2,C,No,Pass
2196,24.0,66.0,Medium,Yes,Low,Yes,Male,19.0,1,11.0,1,69.0,62.0,1,1,C,Yes,Pass
2197,24.0,66.0,Medium,Yes,Low,Yes,Male,21.0,3,10.0,1,69.0,64.0,1,2,C,Yes,Pass
2198,24.0,66.0,Medium,No,Medium,No,Male,19.0,1,11.0,1,69.0,62.0,1,1,C,No,Pass
2199,24.0,66.0,Medium,No,Medium,No,Male,21.0,3,10.0,1,69.0,64.0,1,2,C,No,Pass
2200,16.0,100.0,Low,Yes,High,Yes,Male,18.0,3,15.0,0,80.0,76.0,1,2,B,Yes,Pass
2201,16.0,100.0,Low,Yes,High,Yes,Male,20.0,2,15.0,0,78.0,77.0,0,0,B,Yes,Pass
2202,16.0,100.0,High,Yes,Medium,Yes,Male,18.0,3,15.0,0,80.0,76.0,1,2,B,Yes,Pass
2203,16.0,100.0,High,Yes,Medium,Yes,Male,20.0,2,15.0,0,78.0,77.0,0,0,B,Yes,Pass
2204,16.0,100.0,High,Yes,High,Yes,Male,18.0,3,15.0,0,80.0,76.0,1,2,B,Yes,Pass
2205,16.0,100.0,High,Yes,High,Yes,Male,20.0,2,15.0,0,78.0,77.0,0,0,B,Yes,Pass
2206,21.0,67.0,Medium,No,Low,Yes,Female,27.0,0,0.0,0,73.0,89.0,1,0,A,No,Pass
2207,21.0,67.0,Medium,No,Low,Yes,Female,26.0,1,5.0,1,99.0,60.0,1,2,C,No,Pass
2208,21.0,67.0,Medium,No,Low,Yes,Female,19.0,3,6.0,0,72.0,100.0,0,2,A,No,Pass
2209,21.0,67.0,High,No,Medium,Yes,Female,27.0,0,0.0,0,73.0,89.0,1,0,A,No,Pass
2210,21.0,67.0,High,No,Medium,Yes,Female,26.0,1,5.0,1,99.0,60.0,1,2,C,No,Pass
2211,21.0,67.0,High,No,Medium,Yes,Female,19.0,3,6.0,0,72.0,100.0,0,2,A,No,Pass
2212,21.0,67.0,Medium,Yes,Medium,Yes,Female,27.0,0,0.0,0,73.0,89.0,1,0,A,Yes,Pass
2213,21.0,67.0,Medium,Yes,Medium,Yes,Female,26.0,1,5.0,1,99.0,60.0,1,2,C,Yes,Pass
2214,21.0,67.0,Medium,Yes,Medium,Yes,Female,19.0,3,6.0,0,72.0,100.0,0,2,A,Yes,Pass
2218,21.0,67.0,Low,No,Medium,Yes,Female,27.0,0,0.0,0,73.0,89.0,1,0,A,No,Pass
2219,21.0,67.0,Low,No,Medium,Yes,Female,26.0,1,5.0,1,99.0,60.0,1,2,C,No,Pass
2220,21.0,67.0,Low,No,Medium,Yes,Female,19.0,3,6.0,0,72.0,100.0,0,2,A,No,Pass
2221,21.0,67.0,High,Yes,High,Yes,Female,27.0,0,0.0,0,73.0,89.0,1,0,A,Yes,Pass
2222,21.0,67.0,High,Yes,High,Yes,Female,26.0,1,5.0,1,99.0,60.0,1,2,C,Yes,Pass
2223,21.0,67.0,High,Yes,High,Yes,Female,19.0,3,6.0,0,72.0,100.0,0,2,A,Yes,Pass
2224,21.0,67.0,High,No,Low,Yes,Female,27.0,0,0.0,0,73.0,89.0,1,0,A,No,Pass
2225,21.0,67.0,High,No,Low,Yes,Female,26.0,1,5.0,1,99.0,60.0,1,2,C,No,Pass
2226,21.0,67.0,High,No,Low,Yes,Female,19.0,3,6.0,0,72.0,100.0,0,2,A,No,Pass
2227,16.0,94.0,High,Yes,Medium,Yes,Male,21.0,2,19.0,0,81.0,92.0,1,0,A,Yes,Pass
2228,16.0,94.0,High,Yes,Medium,Yes,Male,28.0,0,14.0,0,91.0,92.0,0,2,A,Yes,Pass
2229,16.0,94.0,High,Yes,Medium,Yes,Male,21.0,2,3.0,1,50.0,49.0,1,2,D,Yes,Fail
2230,16.0,94.0,High,Yes,Medium,Yes,Male,25.0,2,20.0,1,51.0,97.0,1,0,A,Yes,Pass
2231,16.0,94.0,High,Yes,High,Yes,Male,21.0,2,19.0,0,81.0,92.0,1,0,A,Yes,Pass
2232,16.0,94.0,High,Yes,High,Yes,Male,28.0,0,14.0,0,91.0,92.0,0,2,A,Yes,Pass
2233,16.0,94.0,High,Yes,High,Yes,Male,21.0,2,3.0,1,50.0,49.0,1,2,D,Yes,Fail
2234,16.0,94.0,High,Yes,High,Yes,Male,25.0,2,20.0,1,51.0,97.0,1,0,A,Yes,Pass
2235,16.0,94.0,Medium,Yes,Medium,Yes,Male,21.0,2,19.0,0,81.0,92.0,1,0,A,Yes,Pass
2236,16.0,94.0,Medium,Yes,Medium,Yes,Male,28.0,0,14.0,0,91.0,92.0,0,2,A,Yes,Pass
2237,16.0,94.0,Medium,Yes,Medium,Yes,Male,21.0,2,3.0,1,50.0,49.0,1,2,D,Yes,Fail
2238,16.0,94.0,Medium,Yes,Medium,Yes,Male,25.0,2,20.0,1,51.0,97.0,1,0,A,Yes,Pass
2239,33.0,61.0,Medium,No,High,Yes,Female,26.0,1,20.0,1,55.0,65.0,1,0,C,No,Pass
2240,33.0,61.0,Medium,No,Medium,Yes,Female,26.0,1,20.0,1,55.0,65.0,1,0,C,No,Pass
2241,24.0,84.0,Low,No,Low,Yes,Female,29.0,2,2.0,1,93.0,69.0,1,2,C,No,Pass
2242,24.0,84.0,Low,No,Low,Yes,Female,21.0,0,15.0,1,56.0,61.0,0,1,C,No,Pass
2243,24.0,84.0,Low,No,Low,Yes,Female,29.0,0,1.0,0,94.0,67.0,0,2,C,No,Pass
2244,24.0,84.0,Low,No,Low,Yes,Female,27.0,3,5.0,1,84.0,70.0,1,1,B,No,Pass
2245,24.0,84.0,High,Yes,High,Yes,Female,29.0,2,2.0,1,93.0,69.0,1,2,C,Yes,Pass
2246,24.0,84.0,High,Yes,High,Yes,Female,21.0,0,15.0,1,56.0,61.0,0,1,C,Yes,Pass
2247,24.0,84.0,High,Yes,High,Yes,Female,29.0,0,1.0,0,94.0,67.0,0,2,C,Yes,Pass
2248,24.0,84.0,High,Yes,High,Yes,Female,27.0,3,5.0,1,84.0,70.0,1,1,B,Yes,Pass
2249,24.0,84.0,Medium,Yes,Medium,Yes,Female,29.0,2,2.0,1,93.0,69.0,1,2,C,Yes,Pass
2250,24.0,84.0,Medium,Yes,Medium,Yes,Female,21.0,0,15.0,1,56.0,61.0,0,1,C,Yes,Pass
2251,24.0,84.0,Medium,Yes,Medium,Yes,Female,29.0,0,1.0,0,94.0,67.0,0,2,C,Yes,Pass
2252,24.0,84.0,Medium,Yes,Medium,Yes,Female,27.0,3,5.0,1,84.0,70.0,1,1,B,Yes,Pass
2253,8.0,71.0,Low,No,Medium,Yes,Male,24.0,2,13.0,0,80.0,52.0,1,1,D,No,Fail
2254,8.0,71.0,Low,No,Medium,Yes,Male,23.0,3,1.0,1,86.0,58.0,0,2,C,No,Pass
2255,8.0,71.0,Low,No,Medium,Yes,Male,28.0,2,10.0,1,83.0,89.0,1,2,A,No,Pass
2256,8.0,71.0,Low,No,Medium,Yes,Male,26.0,0,2.0,1,54.0,45.0,1,1,D,No,Fail
2257,8.0,71.0,Low,No,Medium,Yes,Male,24.0,2,8.0,1,63.0,80.0,1,2,B,No,Pass
2258,8.0,71.0,Medium,No,High,Yes,Male,24.0,2,13.0,0,80.0,52.0,1,1,D,No,Fail
2259,8.0,71.0,Medium,No,High,Yes,Male,23.0,3,1.0,1,86.0,58.0,0,2,C,No,Pass
2260,8.0,71.0,Medium,No,High,Yes,Male,28.0,2,10.0,1,83.0,89.0,1,2,A,No,Pass
2261,8.0,71.0,Medium,No,High,Yes,Male,26.0,0,2.0,1,54.0,45.0,1,1,D,No,Fail
2262,8.0,71.0,Medium,No,High,Yes,Male,24.0,2,8.0,1,63.0,80.0,1,2,B,No,Pass
2263,21.0,94.0,Medium,No,Low,Yes,Male,21.0,1,18.0,0,61.0,48.0,0,1,D,No,Fail
2264,21.0,94.0,Medium,No,Low,Yes,Male,23.0,3,19.0,0,59.0,48.0,1,2,D,No,Fail
2265,21.0,94.0,Medium,Yes,Low,Yes,Male,21.0,1,18.0,0,61.0,48.0,0,1,D,Yes,Fail
2266,21.0,94.0,Medium,Yes,Low,Yes,Male,23.0,3,19.0,0,59.0,48.0,1,2,D,Yes,Fail
2267,21.0,94.0,Low,Yes,Low,Yes,Male,21.0,1,18.0,0,61.0,48.0,0,1,D,Yes,Fail
2268,21.0,94.0,Low,Yes,Low,Yes,Male,23.0,3,19.0,0,59.0,48.0,1,2,D,Yes,Fail
2271,21.0,94.0,Medium,No,Low,No,Male,21.0,1,18.0,0,61.0,48.0,0,1,D,No,Fail
2272,21.0,94.0,Medium,No,Low,No,Male,23.0,3,19.0,0,59.0,48.0,1,2,D,No,Fail
