ActiveLearner,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningStyle,Motivation,OnlineCourses,PassStatus,Resources,StressLevel,StudyHours
No,19.0,65.0,93.0,0,0,54.0,No,D,Male,Yes,Auditory,High,0.0,Fail,Medium,2,20.0
No,23.0,55.0,93.0,1,1,99.0,No,A,Male,Yes,Auditory,High,5.0,Pass,Medium,,20.0
No,23.0,65.0,93.0,1,0,56.0,No,C,Male,Yes,Kinesthetic,High,14.0,Pass,Medium,2,20.0
No,23.0,51.0,93.0,1,1,47.0,No,D,Male,Yes,Reading/Writing,High,8.0,Fail,Medium,1,20.0
No,19.0,65.0,93.0,0,0,54.0,No,D,Male,Yes,Auditory,Medium,0.0,Fail,Low,2,20.0
No,23.0,55.0,93.0,1,1,99.0,No,A,Male,Yes,Auditory,Medium,5.0,Pass,Low,,20.0
No,23.0,65.0,93.0,1,0,56.0,No,C,Male,Yes,Kinesthetic,Medium,14.0,Pass,Low,2,20.0
No,23.0,51.0,93.0,1,1,47.0,No,D,Male,Yes,Reading/Writing,Medium,8.0,Fail,Low,1,20.0
Yes,19.0,95.0,78.0,1,0,60.0,Yes,C,Male,Yes,Reading/Writing,Low,13.0,Pass,Medium,2,22.0
Yes,27.0,58.0,78.0,1,1,73.0,Yes,B,Male,Yes,Reading/Writing,Low,9.0,Pass,Medium,1,22.0
Yes,22.0,87.0,78.0,0,0,65.0,Yes,C,Male,Yes,Reading/Writing,Low,10.0,Pass,Medium,,22.0
Yes,19.0,95.0,78.0,1,0,60.0,Yes,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,High,2,22.0
Yes,27.0,58.0,78.0,1,1,73.0,Yes,B,Male,Yes,Reading/Writing,Medium,9.0,Pass,High,1,22.0
Yes,22.0,87.0,78.0,0,0,65.0,Yes,C,Male,Yes,Reading/Writing,Medium,10.0,Pass,High,,22.0
No,19.0,95.0,78.0,1,0,60.0,No,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,Medium,2,22.0
No,27.0,58.0,78.0,1,1,73.0,No,B,Male,Yes,Reading/Writing,Medium,9.0,Pass,Medium,1,22.0
No,22.0,87.0,78.0,0,0,65.0,No,C,Male,Yes,Reading/Writing,Medium,10.0,Pass,Medium,,22.0
Yes,19.0,95.0,78.0,1,0,60.0,Yes,C,Male,Yes,Reading/Writing,Medium,13.0,Pass,Medium,2,22.0
Yes,27.0,58.0,78.0,1,1,73.0,Yes,B,Male,Yes,Reading/Writing,Medium,9.0,Pass,Medium,1,22.0
Yes,22.0,87.0,78.0,0,0,65.0,Yes,C,Male,Yes,Reading/Writing,Medium,10.0,Pass,Medium,,22.0
No,19.0,95.0,78.0,1,0,60.0,No,C,Male,Yes,Reading/Writing,Low,13.0,Pass,High,2,22.0
No,27.0,58.0,78.0,1,1,73.0,No,B,Male,Yes,Reading/Writing,Low,9.0,Pass,High,1,22.0
No,22.0,87.0,78.0,0,0,65.0,No,C,Male,Yes,Reading/Writing,Low,10.0,Pass,High,,22.0
Yes,19.0,95.0,78.0,1,0,60.0,Yes,C,Male,Yes,Reading/Writing,Low,13.0,Pass,High,2,22.0
Yes,27.0,58.0,78.0,1,1,73.0,Yes,B,Male,Yes,Reading/Writing,Low,9.0,Pass,High,1,22.0
Yes,22.0,87.0,78.0,0,0,65.0,Yes,C,Male,Yes,Reading/Writing,Low,10.0,Pass,High,,22.0
No,19.0,95.0,78.0,1,0,60.0,No,C,Male,Yes,Reading/Writing,High,13.0,Pass,Low,2,22.0
No,27.0,58.0,78.0,1,1,73.0,No,B,Male,Yes,Reading/Writing,High,9.0,Pass,Low,1,22.0
No,22.0,87.0,78.0,0,0,65.0,No,C,Male,Yes,Reading/Writing,High,10.0,Pass,Low,,22.0
No,25.0,64.0,81.0,0,1,43.0,No,D,Female,Yes,Visual,Medium,20.0,Fail,Low,2,24.0
No,20.0,97.0,81.0,1,0,83.0,No,B,Female,Yes,Kinesthetic,Medium,13.0,Pass,Low,1,24.0
No,27.0,97.0,62.0,0,1,51.0,No,D,Male,Yes,Auditory,High,13.0,Fail,Low,1,10.0
No,20.0,60.0,62.0,1,1,68.0,No,C,Male,Yes,Auditory,High,0.0,Pass,Low,2,10.0
No,20.0,95.0,62.0,1,0,83.0,No,B,Male,Yes,Kinesthetic,High,15.0,Pass,Low,1,10.0
No,24.0,98.0,62.0,0,0,65.0,No,C,Male,Yes,Auditory,High,10.0,Pass,Low,1,10.0
No,23.0,79.0,62.0,0,1,59.0,No,C,Male,Yes,Kinesthetic,High,14.0,Pass,Low,2,10.0
No,27.0,97.0,62.0,0,1,51.0,No,D,Male,Yes,Auditory,High,13.0,Fail,Medium,1,10.0
No,20.0,60.0,62.0,1,1,68.0,No,C,Male,Yes,Auditory,High,0.0,Pass,Medium,2,10.0
No,20.0,95.0,62.0,1,0,83.0,No,B,Male,Yes,Kinesthetic,High,15.0,Pass,Medium,1,10.0
No,24.0,98.0,62.0,0,0,65.0,No,C,Male,Yes,Auditory,High,10.0,Pass,Medium,1,10.0
No,23.0,79.0,62.0,0,1,59.0,No,C,Male,Yes,Kinesthetic,High,14.0,Pass,Medium,2,10.0
No,27.0,97.0,62.0,0,1,51.0,No,D,Male,Yes,Auditory,Medium,13.0,Fail,High,1,10.0
No,20.0,60.0,62.0,1,1,68.0,No,C,Male,Yes,Auditory,Medium,0.0,Pass,High,2,10.0
No,20.0,95.0,62.0,1,0,83.0,No,B,Male,Yes,Kinesthetic,Medium,15.0,Pass,High,1,10.0
No,24.0,98.0,62.0,0,0,65.0,No,C,Male,Yes,Auditory,Medium,10.0,Pass,High,1,10.0
No,23.0,79.0,62.0,0,1,59.0,No,C,Male,Yes,Kinesthetic,Medium,14.0,Pass,High,2,10.0
No,25.0,52.0,85.0,1,1,53.0,No,D,Male,Yes,Auditory,High,20.0,Fail,Medium,1,20.0
No,28.0,98.0,85.0,0,1,67.0,No,C,Male,Yes,Kinesthetic,High,1.0,Pass,Medium,2,20.0
No,28.0,50.0,85.0,1,1,75.0,No,B,Male,Yes,Reading/Writing,High,5.0,Pass,Medium,2,20.0
No,20.0,97.0,85.0,0,1,81.0,No,B,Male,Yes,Kinesthetic,High,7.0,Pass,Medium,1,20.0
No,22.0,54.0,85.0,1,1,41.0,No,D,Male,Yes,Reading/Writing,High,5.0,Fail,Medium,1,20.0
Yes,25.0,52.0,85.0,1,1,53.0,Yes,D,Male,Yes,Auditory,Low,20.0,Fail,Medium,1,20.0
Yes,28.0,98.0,85.0,0,1,67.0,Yes,C,Male,Yes,Kinesthetic,Low,1.0,Pass,Medium,2,20.0
Yes,28.0,50.0,85.0,1,1,75.0,Yes,B,Male,Yes,Reading/Writing,Low,5.0,Pass,Medium,2,20.0
Yes,20.0,97.0,85.0,0,1,81.0,Yes,B,Male,Yes,Kinesthetic,Low,7.0,Pass,Medium,1,20.0
Yes,22.0,54.0,85.0,1,1,41.0,Yes,D,Male,Yes,Reading/Writing,Low,5.0,Fail,Medium,1,20.0
No,25.0,52.0,85.0,1,1,53.0,No,D,Male,Yes,Auditory,Low,20.0,Fail,Low,1,20.0
No,28.0,98.0,85.0,0,1,67.0,No,C,Male,Yes,Kinesthetic,Low,1.0,Pass,Low,2,20.0
No,28.0,50.0,85.0,1,1,75.0,No,B,Male,Yes,Reading/Writing,Low,5.0,Pass,Low,2,20.0
No,20.0,97.0,85.0,0,1,81.0,No,B,Male,Yes,Kinesthetic,Low,7.0,Pass,Low,1,20.0
No,22.0,54.0,85.0,1,1,41.0,No,D,Male,Yes,Reading/Writing,Low,5.0,Fail,Low,1,20.0
Yes,25.0,52.0,85.0,1,1,53.0,Yes,D,Male,Yes,Auditory,Medium,20.0,Fail,Low,1,20.0
Yes,28.0,98.0,85.0,0,1,67.0,Yes,C,Male,Yes,Kinesthetic,Medium,1.0,Pass,Low,2,20.0
Yes,28.0,50.0,85.0,1,1,75.0,Yes,B,Male,Yes,Reading/Writing,Medium,5.0,Pass,Low,2,20.0
Yes,20.0,97.0,85.0,0,1,81.0,Yes,B,Male,Yes,Kinesthetic,Medium,7.0,Pass,Low,1,20.0
Yes,22.0,54.0,85.0,1,1,41.0,Yes,D,Male,Yes,Reading/Writing,Medium,5.0,Fail,Low,1,20.0
No,25.0,52.0,85.0,1,1,53.0,No,D,Male,Yes,Auditory,Low,20.0,Fail,Medium,1,20.0
No,28.0,98.0,85.0,0,1,67.0,No,C,Male,Yes,Kinesthetic,Low,1.0,Pass,Medium,2,20.0
No,28.0,50.0,85.0,1,1,75.0,No,B,Male,Yes,Reading/Writing,Low,5.0,Pass,Medium,2,20.0
No,20.0,97.0,85.0,0,1,81.0,No,B,Male,Yes,Kinesthetic,Low,7.0,Pass,Medium,1,20.0
No,22.0,54.0,85.0,1,1,41.0,No,D,Male,Yes,Reading/Writing,Low,5.0,Fail,Medium,1,20.0
Yes,23.0,99.0,93.0,0,1,53.0,Yes,D,Male,Yes,Reading/Writing,High,1.0,Fail,Low,2,13.0
Yes,23.0,94.0,93.0,1,1,75.0,Yes,B,Male,Yes,Reading/Writing,High,9.0,Pass,Low,,13.0
Yes,23.0,58.0,93.0,1,1,96.0,Yes,A,Male,Yes,Reading/Writing,High,4.0,Pass,Low,2,13.0
Yes,29.0,89.0,93.0,1,0,41.0,Yes,D,Male,Yes,Auditory,High,15.0,Fail,Low,1,13.0
Yes,23.0,99.0,93.0,0,1,53.0,Yes,D,Male,Yes,Reading/Writing,Medium,1.0,Fail,High,2,13.0
Yes,23.0,94.0,93.0,1,1,75.0,Yes,B,Male,Yes,Reading/Writing,Medium,9.0,Pass,High,,13.0
Yes,23.0,58.0,93.0,1,1,96.0,Yes,A,Male,Yes,Reading/Writing,Medium,4.0,Pass,High,2,13.0
Yes,29.0,89.0,93.0,1,0,41.0,Yes,D,Male,Yes,Auditory,Medium,15.0,Fail,High,1,13.0
No,23.0,99.0,93.0,0,1,53.0,No,D,Male,Yes,Reading/Writing,Low,1.0,Fail,High,2,13.0
No,23.0,94.0,93.0,1,1,75.0,No,B,Male,Yes,Reading/Writing,Low,9.0,Pass,High,,13.0
No,23.0,58.0,93.0,1,1,96.0,No,A,Male,Yes,Reading/Writing,Low,4.0,Pass,High,2,13.0
No,29.0,89.0,93.0,1,0,41.0,No,D,Male,Yes,Auditory,Low,15.0,Fail,High,1,13.0
Yes,21.0,83.0,84.0,1,1,66.0,Yes,C,Female,Yes,Kinesthetic,High,15.0,Pass,High,1,20.0
Yes,21.0,83.0,84.0,1,1,66.0,Yes,C,Female,Yes,Kinesthetic,Medium,15.0,Pass,High,1,20.0
No,21.0,83.0,84.0,1,1,66.0,No,C,Female,Yes,Kinesthetic,Medium,15.0,Pass,Low,1,20.0
No,21.0,83.0,84.0,1,1,66.0,No,C,Female,Yes,Kinesthetic,Low,15.0,Pass,Low,1,20.0
No,26.0,59.0,84.0,0,1,95.0,No,A,Male,Yes,Auditory,Low,15.0,Pass,High,2,15.0
No,19.0,82.0,84.0,1,0,79.0,No,B,Male,Yes,Visual,Low,4.0,Pass,High,2,15.0
No,26.0,74.0,84.0,0,0,65.0,No,C,Male,Yes,Kinesthetic,Low,10.0,Pass,High,1,15.0
No,22.0,54.0,84.0,1,1,69.0,No,C,Male,Yes,Auditory,Low,12.0,Pass,High,1,15.0
No,26.0,59.0,84.0,0,1,95.0,No,A,Male,Yes,Auditory,Medium,15.0,Pass,Medium,2,15.0
No,19.0,82.0,84.0,1,0,79.0,No,B,Male,Yes,Visual,Medium,4.0,Pass,Medium,2,15.0
No,26.0,74.0,84.0,0,0,65.0,No,C,Male,Yes,Kinesthetic,Medium,10.0,Pass,Medium,1,15.0
No,22.0,54.0,84.0,1,1,69.0,No,C,Male,Yes,Auditory,Medium,12.0,Pass,Medium,1,15.0
Yes,26.0,59.0,84.0,0,1,95.0,Yes,A,Male,Yes,Auditory,Medium,15.0,Pass,Low,2,15.0
Yes,19.0,82.0,84.0,1,0,79.0,Yes,B,Male,Yes,Visual,Medium,4.0,Pass,Low,2,15.0
Yes,26.0,74.0,84.0,0,0,65.0,Yes,C,Male,Yes,Kinesthetic,Medium,10.0,Pass,Low,1,15.0
Yes,22.0,54.0,84.0,1,1,69.0,Yes,C,Male,Yes,Auditory,Medium,12.0,Pass,Low,1,15.0
Yes,25.0,78.0,67.0,1,1,56.0,Yes,C,Male,Yes,Reading/Writing,Low,17.0,Pass,Low,2,18.0
Yes,19.0,76.0,67.0,0,1,100.0,Yes,A,Male,Yes,Visual,Low,12.0,Pass,Low,2,18.0
Yes,25.0,78.0,67.0,1,1,56.0,Yes,C,Male,Yes,Reading/Writing,Medium,17.0,Pass,High,2,18.0
Yes,19.0,76.0,67.0,0,1,100.0,Yes,A,Male,Yes,Visual,Medium,12.0,Pass,High,2,18.0
No,25.0,78.0,67.0,1,1,56.0,No,C,Male,Yes,Reading/Writing,Low,17.0,Pass,Low,2,18.0
No,19.0,76.0,67.0,0,1,100.0,No,A,Male,Yes,Visual,Low,12.0,Pass,Low,2,18.0
No,25.0,78.0,67.0,1,1,56.0,No,C,Male,Yes,Reading/Writing,High,17.0,Pass,Medium,2,18.0
No,19.0,76.0,67.0,0,1,100.0,No,A,Male,Yes,Visual,High,12.0,Pass,Medium,2,18.0
Yes,25.0,78.0,67.0,1,1,56.0,Yes,C,Male,Yes,Reading/Writing,High,17.0,Pass,Medium,2,18.0
Yes,19.0,76.0,67.0,0,1,100.0,Yes,A,Male,Yes,Visual,High,12.0,Pass,Medium,2,18.0
No,27.0,81.0,99.0,1,1,43.0,No,D,Male,Yes,Auditory,Medium,16.0,Fail,High,1,17.0
No,27.0,99.0,99.0,1,1,74.0,No,B,Male,Yes,Kinesthetic,Medium,16.0,Pass,High,2,17.0
No,27.0,81.0,99.0,1,1,43.0,No,D,Male,No,Auditory,Low,16.0,Fail,Medium,1,17.0
No,27.0,99.0,99.0,1,1,74.0,No,B,Male,No,Kinesthetic,Low,16.0,Pass,Medium,2,17.0
No,27.0,81.0,99.0,1,1,43.0,No,D,Male,Yes,Auditory,Low,16.0,Fail,Medium,1,17.0
No,27.0,99.0,99.0,1,1,74.0,No,B,Male,Yes,Kinesthetic,Low,16.0,Pass,Medium,2,17.0
Yes,27.0,81.0,99.0,1,1,43.0,Yes,D,Male,Yes,Auditory,Medium,16.0,Fail,Medium,1,17.0
Yes,27.0,99.0,99.0,1,1,74.0,Yes,B,Male,Yes,Kinesthetic,Medium,16.0,Pass,Medium,2,17.0
No,25.0,66.0,69.0,0,0,77.0,No,B,Male,Yes,Kinesthetic,Medium,15.0,Pass,Low,2,13.0
No,19.0,91.0,69.0,1,1,75.0,No,B,Male,Yes,Reading/Writing,Medium,15.0,Pass,Low,,13.0
No,25.0,62.0,69.0,0,1,55.0,No,C,Male,Yes,Auditory,Medium,17.0,Pass,Low,2,13.0
No,25.0,66.0,69.0,0,0,77.0,No,B,Male,Yes,Kinesthetic,Low,15.0,Pass,High,2,13.0
No,19.0,91.0,69.0,1,1,75.0,No,B,Male,Yes,Reading/Writing,Low,15.0,Pass,High,,13.0
No,25.0,62.0,69.0,0,1,55.0,No,C,Male,Yes,Auditory,Low,17.0,Pass,High,2,13.0
Yes,27.0,70.0,67.0,0,1,93.0,Yes,A,Female,Yes,Kinesthetic,Medium,5.0,Pass,Medium,,23.0
No,27.0,70.0,67.0,0,1,93.0,No,A,Female,Yes,Kinesthetic,High,5.0,Pass,Medium,,23.0
Yes,27.0,70.0,67.0,0,1,93.0,Yes,A,Female,Yes,Kinesthetic,Medium,5.0,Pass,High,,23.0
Yes,27.0,70.0,67.0,0,1,93.0,Yes,A,Female,Yes,Kinesthetic,Low,5.0,Pass,High,,23.0
No,27.0,70.0,67.0,0,1,93.0,No,A,Female,Yes,Kinesthetic,Medium,5.0,Pass,Low,,23.0
Yes,23.0,69.0,87.0,1,1,59.0,Yes,C,Male,Yes,Visual,High,9.0,Pass,High,,29.0
Yes,20.0,74.0,84.0,1,1,65.0,Yes,C,Male,Yes,Kinesthetic,High,17.0,Pass,Medium,2,5.0
Yes,20.0,74.0,84.0,1,1,65.0,Yes,C,Male,No,Kinesthetic,Low,17.0,Pass,Medium,2,5.0
Yes,21.0,72.0,96.0,1,0,54.0,Yes,D,Female,No,Kinesthetic,Low,20.0,Fail,Low,,19.0
Yes,20.0,62.0,96.0,1,1,65.0,Yes,C,Female,No,Visual,Low,12.0,Pass,Low,1,19.0
Yes,24.0,66.0,96.0,0,0,72.0,Yes,B,Female,No,Visual,Low,1.0,Pass,Low,2,19.0
Yes,29.0,98.0,96.0,1,1,73.0,Yes,B,Female,No,Kinesthetic,Low,4.0,Pass,Low,1,19.0
No,21.0,72.0,96.0,1,0,54.0,No,D,Female,Yes,Kinesthetic,High,20.0,Fail,Medium,,19.0
No,20.0,62.0,96.0,1,1,65.0,No,C,Female,Yes,Visual,High,12.0,Pass,Medium,1,19.0
No,24.0,66.0,96.0,0,0,72.0,No,B,Female,Yes,Visual,High,1.0,Pass,Medium,2,19.0
No,29.0,98.0,96.0,1,1,73.0,No,B,Female,Yes,Kinesthetic,High,4.0,Pass,Medium,1,19.0
Yes,21.0,72.0,96.0,1,0,54.0,Yes,D,Female,Yes,Kinesthetic,High,20.0,Fail,Medium,,19.0
Yes,20.0,62.0,96.0,1,1,65.0,Yes,C,Female,Yes,Visual,High,12.0,Pass,Medium,1,19.0
Yes,24.0,66.0,96.0,0,0,72.0,Yes,B,Female,Yes,Visual,High,1.0,Pass,Medium,2,19.0
Yes,29.0,98.0,96.0,1,1,73.0,Yes,B,Female,Yes,Kinesthetic,High,4.0,Pass,Medium,1,19.0
Yes,27.0,83.0,76.0,1,1,54.0,Yes,D,Male,Yes,Visual,Low,20.0,Fail,High,2,19.0
Yes,21.0,72.0,76.0,0,1,90.0,Yes,A,Male,Yes,Kinesthetic,Low,11.0,Pass,High,1,19.0
No,27.0,83.0,76.0,1,1,54.0,No,D,Male,Yes,Visual,Medium,20.0,Fail,Low,2,19.0
No,21.0,72.0,76.0,0,1,90.0,No,A,Male,Yes,Kinesthetic,Medium,11.0,Pass,Low,1,19.0
Yes,27.0,83.0,76.0,1,1,54.0,Yes,D,Male,Yes,Visual,Medium,20.0,Fail,Medium,2,19.0
Yes,21.0,72.0,76.0,0,1,90.0,Yes,A,Male,Yes,Kinesthetic,Medium,11.0,Pass,Medium,1,19.0
Yes,27.0,83.0,76.0,1,1,54.0,Yes,D,Male,Yes,Visual,Medium,20.0,Fail,Low,2,19.0
Yes,21.0,72.0,76.0,0,1,90.0,Yes,A,Male,Yes,Kinesthetic,Medium,11.0,Pass,Low,1,19.0
No,19.0,63.0,95.0,1,1,91.0,No,A,Female,Yes,Kinesthetic,High,1.0,Pass,Medium,,27.0
No,19.0,63.0,95.0,1,1,91.0,No,A,Female,Yes,Kinesthetic,High,1.0,Pass,High,,27.0
Yes,19.0,63.0,95.0,1,1,91.0,Yes,A,Female,Yes,Kinesthetic,High,1.0,Pass,Medium,,27.0
Yes,19.0,63.0,95.0,1,1,91.0,Yes,A,Female,Yes,Kinesthetic,High,1.0,Pass,High,,27.0
Yes,29.0,73.0,97.0,1,1,89.0,Yes,A,Male,Yes,Auditory,Medium,11.0,Pass,High,1,22.0
Yes,20.0,79.0,97.0,1,0,77.0,Yes,B,Male,Yes,Visual,Medium,13.0,Pass,High,2,22.0
Yes,26.0,66.0,97.0,1,1,65.0,Yes,C,Male,Yes,Kinesthetic,Medium,16.0,Pass,High,2,22.0
Yes,29.0,73.0,97.0,1,1,89.0,Yes,A,Male,Yes,Auditory,High,11.0,Pass,Medium,1,22.0
Yes,20.0,79.0,97.0,1,0,77.0,Yes,B,Male,Yes,Visual,High,13.0,Pass,Medium,2,22.0
Yes,26.0,66.0,97.0,1,1,65.0,Yes,C,Male,Yes,Kinesthetic,High,16.0,Pass,Medium,2,22.0
No,29.0,73.0,97.0,1,1,89.0,No,A,Male,Yes,Auditory,High,11.0,Pass,Medium,1,22.0
No,20.0,79.0,97.0,1,0,77.0,No,B,Male,Yes,Visual,High,13.0,Pass,Medium,2,22.0
No,26.0,66.0,97.0,1,1,65.0,No,C,Male,Yes,Kinesthetic,High,16.0,Pass,Medium,2,22.0
No,29.0,73.0,97.0,1,1,89.0,No,A,Male,Yes,Auditory,Medium,11.0,Pass,Medium,1,22.0
No,20.0,79.0,97.0,1,0,77.0,No,B,Male,Yes,Visual,Medium,13.0,Pass,Medium,2,22.0
No,26.0,66.0,97.0,1,1,65.0,No,C,Male,Yes,Kinesthetic,Medium,16.0,Pass,Medium,2,22.0
Yes,29.0,73.0,97.0,1,1,89.0,Yes,A,Male,No,Auditory,Medium,11.0,Pass,Medium,1,22.0
Yes,20.0,79.0,97.0,1,0,77.0,Yes,B,Male,No,Visual,Medium,13.0,Pass,Medium,2,22.0
Yes,26.0,66.0,97.0,1,1,65.0,Yes,C,Male,No,Kinesthetic,Medium,16.0,Pass,Medium,2,22.0
Yes,29.0,73.0,97.0,1,1,89.0,Yes,A,Male,Yes,Auditory,Medium,11.0,Pass,Medium,1,22.0
Yes,20.0,79.0,97.0,1,0,77.0,Yes,B,Male,Yes,Visual,Medium,13.0,Pass,Medium,2,22.0
Yes,26.0,66.0,97.0,1,1,65.0,Yes,C,Male,Yes,Kinesthetic,Medium,16.0,Pass,Medium,2,22.0
Yes,27.0,50.0,72.0,0,0,87.0,Yes,A,Male,Yes,Visual,Medium,20.0,Pass,Medium,1,22.0
No,27.0,50.0,72.0,0,0,87.0,No,A,Male,Yes,Visual,Low,20.0,Pass,Medium,1,22.0
Yes,27.0,50.0,72.0,0,0,87.0,Yes,A,Male,Yes,Visual,High,20.0,Pass,Low,1,22.0
No,27.0,50.0,72.0,0,0,87.0,No,A,Male,No,Visual,Low,20.0,Pass,High,1,22.0
Yes,28.0,55.0,95.0,1,1,57.0,Yes,C,Male,Yes,Kinesthetic,Low,14.0,Pass,Medium,,18.0
Yes,29.0,53.0,95.0,1,0,99.0,Yes,A,Male,Yes,Kinesthetic,Low,19.0,Pass,Medium,2,18.0
Yes,18.0,85.0,95.0,0,0,51.0,Yes,D,Male,Yes,Auditory,Low,12.0,Fail,Medium,2,18.0
Yes,28.0,55.0,95.0,1,1,57.0,Yes,C,Male,Yes,Kinesthetic,High,14.0,Pass,Medium,,18.0
Yes,29.0,53.0,95.0,1,0,99.0,Yes,A,Male,Yes,Kinesthetic,High,19.0,Pass,Medium,2,18.0
Yes,18.0,85.0,95.0,0,0,51.0,Yes,D,Male,Yes,Auditory,High,12.0,Fail,Medium,2,18.0
No,28.0,55.0,95.0,1,1,57.0,No,C,Male,Yes,Kinesthetic,Medium,14.0,Pass,High,,18.0
No,29.0,53.0,95.0,1,0,99.0,No,A,Male,Yes,Kinesthetic,Medium,19.0,Pass,High,2,18.0
No,18.0,85.0,95.0,0,0,51.0,No,D,Male,Yes,Auditory,Medium,12.0,Fail,High,2,18.0
Yes,28.0,55.0,95.0,1,1,57.0,Yes,C,Male,Yes,Kinesthetic,High,14.0,Pass,High,,18.0
Yes,29.0,53.0,95.0,1,0,99.0,Yes,A,Male,Yes,Kinesthetic,High,19.0,Pass,High,2,18.0
Yes,18.0,85.0,95.0,0,0,51.0,Yes,D,Male,Yes,Auditory,High,12.0,Fail,High,2,18.0
No,23.0,94.0,91.0,0,1,81.0,No,B,Male,Yes,Reading/Writing,High,19.0,Pass,Medium,2,17.0
No,28.0,54.0,91.0,0,1,75.0,No,B,Male,Yes,Kinesthetic,High,9.0,Pass,Medium,2,17.0
Yes,23.0,94.0,91.0,0,1,81.0,Yes,B,Male,Yes,Reading/Writing,Medium,19.0,Pass,Medium,2,17.0
Yes,28.0,54.0,91.0,0,1,75.0,Yes,B,Male,Yes,Kinesthetic,Medium,9.0,Pass,Medium,2,17.0
Yes,23.0,94.0,91.0,0,1,81.0,Yes,B,Male,Yes,Reading/Writing,Low,19.0,Pass,Low,2,17.0
Yes,28.0,54.0,91.0,0,1,75.0,Yes,B,Male,Yes,Kinesthetic,Low,9.0,Pass,Low,2,17.0
Yes,23.0,94.0,91.0,0,1,81.0,Yes,B,Male,Yes,Reading/Writing,Medium,19.0,Pass,Low,2,17.0
Yes,28.0,54.0,91.0,0,1,75.0,Yes,B,Male,Yes,Kinesthetic,Medium,9.0,Pass,Low,2,17.0
Yes,22.0,59.0,71.0,1,1,61.0,Yes,C,Female,Yes,Auditory,High,1.0,Pass,High,2,22.0
Yes,22.0,73.0,71.0,1,1,97.0,Yes,A,Female,Yes,Auditory,High,8.0,Pass,High,2,22.0
Yes,28.0,51.0,71.0,0,1,57.0,Yes,C,Female,Yes,Auditory,High,2.0,Pass,High,2,22.0
No,22.0,59.0,71.0,1,1,61.0,No,C,Female,No,Auditory,Medium,1.0,Pass,Medium,2,22.0
No,22.0,73.0,71.0,1,1,97.0,No,A,Female,No,Auditory,Medium,8.0,Pass,Medium,2,22.0
No,28.0,51.0,71.0,0,1,57.0,No,C,Female,No,Auditory,Medium,2.0,Pass,Medium,2,22.0
Yes,22.0,59.0,71.0,1,1,61.0,Yes,C,Female,Yes,Auditory,Low,1.0,Pass,Medium,2,22.0
Yes,22.0,73.0,71.0,1,1,97.0,Yes,A,Female,Yes,Auditory,Low,8.0,Pass,Medium,2,22.0
Yes,28.0,51.0,71.0,0,1,57.0,Yes,C,Female,Yes,Auditory,Low,2.0,Pass,Medium,2,22.0
Yes,22.0,59.0,71.0,1,1,61.0,Yes,C,Female,Yes,Auditory,Low,1.0,Pass,Low,2,22.0
Yes,22.0,73.0,71.0,1,1,97.0,Yes,A,Female,Yes,Auditory,Low,8.0,Pass,Low,2,22.0
Yes,28.0,51.0,71.0,0,1,57.0,Yes,C,Female,Yes,Auditory,Low,2.0,Pass,Low,2,22.0
No,22.0,55.0,60.0,1,1,90.0,No,A,Female,Yes,Visual,Medium,6.0,Pass,High,,25.0
Yes,22.0,55.0,60.0,1,1,90.0,Yes,A,Female,Yes,Visual,Medium,6.0,Pass,High,,25.0
No,23.0,58.0,74.0,0,1,98.0,No,A,Male,No,Kinesthetic,High,16.0,Pass,Medium,1,27.0
No,28.0,84.0,74.0,0,1,61.0,No,C,Male,No,Kinesthetic,High,20.0,Pass,Medium,,27.0
No,21.0,54.0,74.0,1,1,44.0,No,D,Male,No,Visual,High,10.0,Fail,Medium,,27.0
Yes,23.0,58.0,74.0,0,1,98.0,Yes,A,Male,No,Kinesthetic,High,16.0,Pass,Low,1,27.0
Yes,28.0,84.0,74.0,0,1,61.0,Yes,C,Male,No,Kinesthetic,High,20.0,Pass,Low,,27.0
Yes,21.0,54.0,74.0,1,1,44.0,Yes,D,Male,No,Visual,High,10.0,Fail,Low,,27.0
Yes,23.0,58.0,74.0,0,1,98.0,Yes,A,Male,Yes,Kinesthetic,Medium,16.0,Pass,Medium,1,27.0
Yes,28.0,84.0,74.0,0,1,61.0,Yes,C,Male,Yes,Kinesthetic,Medium,20.0,Pass,Medium,,27.0
Yes,21.0,54.0,74.0,1,1,44.0,Yes,D,Male,Yes,Visual,Medium,10.0,Fail,Medium,,27.0
No,23.0,58.0,74.0,0,1,98.0,No,A,Male,Yes,Kinesthetic,High,16.0,Pass,High,1,27.0
No,28.0,84.0,74.0,0,1,61.0,No,C,Male,Yes,Kinesthetic,High,20.0,Pass,High,,27.0
No,21.0,54.0,74.0,1,1,44.0,No,D,Male,Yes,Visual,High,10.0,Fail,High,,27.0
Yes,28.0,63.0,73.0,1,1,78.0,Yes,B,Female,Yes,Visual,Medium,6.0,Pass,Low,,18.0
Yes,29.0,92.0,73.0,1,1,78.0,Yes,B,Female,Yes,Auditory,Medium,4.0,Pass,Low,,18.0
