ActiveLearner,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningStyle,Motivation,OnlineCourses,PassStatus,Resources,StressLevel,StudyHours,Cluster
Yes,21.0,73.0,60.0,<Na>,1,75.0,Yes,B,Female,Yes,3,Low,13.0,Pass,Medium,<Na>,24.0,2
Yes,23.0,97.0,60.0,<Na>,<Na>,95.0,Yes,A,Female,Yes,2,Low,5.0,Pass,Medium,<Na>,24.0,2
Yes,18.0,52.0,99.0,1,1,83.0,Yes,B,Male,No,2,Medium,11.0,Pass,Medium,<Na>,28.0,3
Yes,18.0,52.0,99.0,1,1,83.0,Yes,B,Male,Yes,2,Low,11.0,Pass,Medium,<Na>,28.0,3
Yes,21.0,58.0,84.0,1,1,69.0,Yes,C,Female,Yes,<Na>,Medium,19.0,Pass,High,1,16.0,3
Yes,18.0,98.0,84.0,1,1,93.0,Yes,A,Female,Yes,3,Medium,15.0,Pass,High,2,16.0,2
Yes,23.0,87.0,84.0,<Na>,1,58.0,Yes,C,Female,Yes,3,Medium,7.0,Pass,High,2,16.0,0
Yes,27.0,72.0,84.0,1,<Na>,62.0,Yes,C,Female,Yes,2,Medium,16.0,Pass,High,1,16.0,0
Yes,20.0,70.0,84.0,1,<Na>,100.0,Yes,A,Female,Yes,1,Medium,6.0,Pass,High,1,16.0,2
No,21.0,58.0,84.0,1,1,69.0,No,C,Female,Yes,<Na>,High,19.0,Pass,Medium,1,16.0,3
No,18.0,98.0,84.0,1,1,93.0,No,A,Female,Yes,3,High,15.0,Pass,Medium,2,16.0,2
No,23.0,87.0,84.0,<Na>,1,58.0,No,C,Female,Yes,3,High,7.0,Pass,Medium,2,16.0,0
No,27.0,72.0,84.0,1,<Na>,62.0,No,C,Female,Yes,2,High,16.0,Pass,Medium,1,16.0,0
No,20.0,70.0,84.0,1,<Na>,100.0,No,A,Female,Yes,1,High,6.0,Pass,Medium,1,16.0,2
Yes,21.0,58.0,84.0,1,1,69.0,Yes,C,Female,Yes,<Na>,Low,19.0,Pass,High,1,16.0,3
Yes,18.0,98.0,84.0,1,1,93.0,Yes,A,Female,Yes,3,Low,15.0,Pass,High,2,16.0,2
Yes,23.0,87.0,84.0,<Na>,1,58.0,Yes,C,Female,Yes,3,Low,7.0,Pass,High,2,16.0,0
Yes,27.0,72.0,84.0,1,<Na>,62.0,Yes,C,Female,Yes,2,Low,16.0,Pass,High,1,16.0,0
Yes,20.0,70.0,84.0,1,<Na>,100.0,Yes,A,Female,Yes,1,Low,6.0,Pass,High,1,16.0,2
Yes,28.0,50.0,79.0,1,1,51.0,Yes,D,Male,Yes,1,Medium,0.0,Fail,High,1,23.0,0
Yes,28.0,50.0,79.0,1,1,51.0,Yes,D,Male,Yes,1,Low,0.0,Fail,High,1,23.0,0
Yes,28.0,50.0,79.0,1,1,51.0,Yes,D,Male,Yes,1,High,0.0,Fail,Medium,1,23.0,0
Yes,28.0,50.0,79.0,1,1,51.0,Yes,D,Male,No,1,Medium,0.0,Fail,Medium,1,23.0,0
No,28.0,50.0,79.0,1,1,51.0,No,D,Male,Yes,1,Medium,0.0,Fail,High,1,23.0,0
Yes,22.0,98.0,83.0,<Na>,1,99.0,Yes,A,Female,Yes,1,Medium,9.0,Pass,Medium,2,19.0,2
Yes,22.0,98.0,83.0,<Na>,1,99.0,Yes,A,Female,Yes,1,Medium,9.0,Pass,High,2,19.0,2
No,22.0,98.0,83.0,<Na>,1,99.0,No,A,Female,Yes,1,Low,9.0,Pass,Low,2,19.0,2
No,22.0,98.0,83.0,<Na>,1,99.0,No,A,Female,Yes,1,Low,9.0,Pass,Medium,2,19.0,2
No,22.0,98.0,83.0,<Na>,1,99.0,No,A,Female,Yes,1,Medium,9.0,Pass,High,2,19.0,2
No,20.0,56.0,71.0,1,1,69.0,No,C,Female,Yes,2,High,10.0,Pass,Medium,<Na>,28.0,3
No,18.0,97.0,71.0,<Na>,<Na>,94.0,No,A,Female,Yes,<Na>,High,9.0,Pass,Medium,2,28.0,2
No,26.0,77.0,71.0,<Na>,<Na>,46.0,No,D,Female,Yes,<Na>,High,8.0,Fail,Medium,2,28.0,0
Yes,20.0,56.0,71.0,1,1,69.0,Yes,C,Female,Yes,2,High,10.0,Pass,Medium,<Na>,28.0,3
Yes,18.0,97.0,71.0,<Na>,<Na>,94.0,Yes,A,Female,Yes,<Na>,High,9.0,Pass,Medium,2,28.0,2
Yes,26.0,77.0,71.0,<Na>,<Na>,46.0,Yes,D,Female,Yes,<Na>,High,8.0,Fail,Medium,2,28.0,0
No,25.0,70.0,90.0,<Na>,1,73.0,No,B,Male,Yes,1,Medium,20.0,Pass,Low,<Na>,24.0,1
No,24.0,67.0,90.0,1,1,92.0,No,A,Male,Yes,<Na>,Medium,19.0,Pass,Low,<Na>,24.0,1
Yes,25.0,70.0,90.0,<Na>,1,73.0,Yes,B,Male,Yes,1,Low,20.0,Pass,Medium,<Na>,24.0,1
Yes,24.0,67.0,90.0,1,1,92.0,Yes,A,Male,Yes,<Na>,Low,19.0,Pass,Medium,<Na>,24.0,1
No,25.0,70.0,90.0,<Na>,1,73.0,No,B,Male,Yes,1,Medium,20.0,Pass,Medium,<Na>,24.0,1
No,24.0,67.0,90.0,1,1,92.0,No,A,Male,Yes,<Na>,Medium,19.0,Pass,Medium,<Na>,24.0,1
No,25.0,70.0,90.0,<Na>,1,73.0,No,B,Male,Yes,1,Low,20.0,Pass,High,<Na>,24.0,1
No,24.0,67.0,90.0,1,1,92.0,No,A,Male,Yes,<Na>,Low,19.0,Pass,High,<Na>,24.0,1
Yes,25.0,70.0,90.0,<Na>,1,73.0,Yes,B,Male,Yes,1,Medium,20.0,Pass,Medium,<Na>,24.0,1
Yes,24.0,67.0,90.0,1,1,92.0,Yes,A,Male,Yes,<Na>,Medium,19.0,Pass,Medium,<Na>,24.0,1
Yes,25.0,70.0,90.0,<Na>,1,73.0,Yes,B,Male,Yes,1,High,20.0,Pass,Low,<Na>,24.0,1
Yes,24.0,67.0,90.0,1,1,92.0,Yes,A,Male,Yes,<Na>,High,19.0,Pass,Low,<Na>,24.0,1
No,21.0,84.0,80.0,1,1,65.0,No,C,Male,Yes,2,Low,9.0,Pass,Medium,1,18.0,2
No,20.0,63.0,80.0,<Na>,<Na>,91.0,No,A,Male,Yes,3,Low,8.0,Pass,Medium,2,18.0,1
No,25.0,63.0,80.0,1,1,50.0,No,D,Male,Yes,<Na>,Low,9.0,Fail,Medium,1,18.0,0
Yes,21.0,84.0,80.0,1,1,65.0,Yes,C,Male,No,2,Medium,9.0,Pass,High,1,18.0,2
Yes,20.0,63.0,80.0,<Na>,<Na>,91.0,Yes,A,Male,No,3,Medium,8.0,Pass,High,2,18.0,1
Yes,25.0,63.0,80.0,1,1,50.0,Yes,D,Male,No,<Na>,Medium,9.0,Fail,High,1,18.0,0
Yes,21.0,84.0,80.0,1,1,65.0,Yes,C,Male,Yes,2,High,9.0,Pass,Low,1,18.0,2
Yes,20.0,63.0,80.0,<Na>,<Na>,91.0,Yes,A,Male,Yes,3,High,8.0,Pass,Low,2,18.0,1
Yes,25.0,63.0,80.0,1,1,50.0,Yes,D,Male,Yes,<Na>,High,9.0,Fail,Low,1,18.0,0
Yes,22.0,70.0,63.0,<Na>,<Na>,47.0,Yes,D,Female,Yes,<Na>,Medium,19.0,Fail,High,2,22.0,3
Yes,26.0,61.0,63.0,<Na>,<Na>,88.0,Yes,A,Female,Yes,2,Medium,18.0,Pass,High,2,22.0,1
Yes,29.0,93.0,63.0,<Na>,1,67.0,Yes,C,Female,Yes,1,Medium,0.0,Pass,High,2,22.0,0
Yes,26.0,79.0,63.0,<Na>,1,62.0,Yes,C,Female,Yes,1,Medium,0.0,Pass,High,<Na>,22.0,0
Yes,23.0,99.0,63.0,1,<Na>,41.0,Yes,D,Female,Yes,3,Medium,20.0,Fail,High,1,22.0,0
Yes,22.0,70.0,63.0,<Na>,<Na>,47.0,Yes,D,Female,Yes,<Na>,Medium,19.0,Fail,Medium,2,22.0,3
Yes,26.0,61.0,63.0,<Na>,<Na>,88.0,Yes,A,Female,Yes,2,Medium,18.0,Pass,Medium,2,22.0,1
Yes,29.0,93.0,63.0,<Na>,1,67.0,Yes,C,Female,Yes,1,Medium,0.0,Pass,Medium,2,22.0,0
Yes,26.0,79.0,63.0,<Na>,1,62.0,Yes,C,Female,Yes,1,Medium,0.0,Pass,Medium,<Na>,22.0,0
Yes,23.0,99.0,63.0,1,<Na>,41.0,Yes,D,Female,Yes,3,Medium,20.0,Fail,Medium,1,22.0,0
Yes,22.0,70.0,63.0,<Na>,<Na>,47.0,Yes,D,Female,Yes,<Na>,Low,19.0,Fail,High,2,22.0,3
Yes,26.0,61.0,63.0,<Na>,<Na>,88.0,Yes,A,Female,Yes,2,Low,18.0,Pass,High,2,22.0,1
Yes,29.0,93.0,63.0,<Na>,1,67.0,Yes,C,Female,Yes,1,Low,0.0,Pass,High,2,22.0,0
Yes,26.0,79.0,63.0,<Na>,1,62.0,Yes,C,Female,Yes,1,Low,0.0,Pass,High,<Na>,22.0,0
Yes,23.0,99.0,63.0,1,<Na>,41.0,Yes,D,Female,Yes,3,Low,20.0,Fail,High,1,22.0,0
Yes,22.0,70.0,63.0,<Na>,<Na>,47.0,Yes,D,Female,Yes,<Na>,Medium,19.0,Fail,Low,2,22.0,3
Yes,26.0,61.0,63.0,<Na>,<Na>,88.0,Yes,A,Female,Yes,2,Medium,18.0,Pass,Low,2,22.0,1
Yes,29.0,93.0,63.0,<Na>,1,67.0,Yes,C,Female,Yes,1,Medium,0.0,Pass,Low,2,22.0,0
Yes,26.0,79.0,63.0,<Na>,1,62.0,Yes,C,Female,Yes,1,Medium,0.0,Pass,Low,<Na>,22.0,0
Yes,23.0,99.0,63.0,1,<Na>,41.0,Yes,D,Female,Yes,3,Medium,20.0,Fail,Low,1,22.0,0
No,22.0,70.0,63.0,<Na>,<Na>,47.0,No,D,Female,Yes,<Na>,Low,19.0,Fail,Medium,2,22.0,3
No,26.0,61.0,63.0,<Na>,<Na>,88.0,No,A,Female,Yes,2,Low,18.0,Pass,Medium,2,22.0,1
No,29.0,93.0,63.0,<Na>,1,67.0,No,C,Female,Yes,1,Low,0.0,Pass,Medium,2,22.0,0
No,26.0,79.0,63.0,<Na>,1,62.0,No,C,Female,Yes,1,Low,0.0,Pass,Medium,<Na>,22.0,0
No,23.0,99.0,63.0,1,<Na>,41.0,No,D,Female,Yes,3,Low,20.0,Fail,Medium,1,22.0,0
Yes,25.0,95.0,89.0,1,<Na>,66.0,Yes,C,Male,Yes,3,Medium,0.0,Pass,Medium,1,19.0,0
No,25.0,95.0,89.0,1,<Na>,66.0,No,C,Male,Yes,3,Medium,0.0,Pass,Medium,1,19.0,0
No,25.0,95.0,89.0,1,<Na>,66.0,No,C,Male,Yes,3,High,0.0,Pass,High,1,19.0,0
Yes,25.0,95.0,89.0,1,<Na>,66.0,Yes,C,Male,Yes,3,Low,0.0,Pass,Medium,1,19.0,0
Yes,29.0,73.0,92.0,<Na>,1,53.0,Yes,D,Male,Yes,1,Low,19.0,Fail,Low,<Na>,21.0,0
Yes,23.0,53.0,92.0,<Na>,1,68.0,Yes,C,Male,Yes,3,Low,4.0,Pass,Low,2,21.0,3
Yes,29.0,73.0,92.0,<Na>,1,53.0,Yes,D,Male,Yes,1,Low,19.0,Fail,Medium,<Na>,21.0,0
Yes,23.0,53.0,92.0,<Na>,1,68.0,Yes,C,Male,Yes,3,Low,4.0,Pass,Medium,2,21.0,3
No,29.0,73.0,92.0,<Na>,1,53.0,No,D,Male,Yes,1,Low,19.0,Fail,Low,<Na>,21.0,0
No,23.0,53.0,92.0,<Na>,1,68.0,No,C,Male,Yes,3,Low,4.0,Pass,Low,2,21.0,3
No,20.0,74.0,72.0,1,1,72.0,No,B,Female,Yes,3,High,14.0,Pass,High,2,24.0,3
No,21.0,72.0,72.0,1,1,52.0,No,D,Female,Yes,2,High,11.0,Fail,High,2,24.0,3
Yes,20.0,74.0,72.0,1,1,72.0,Yes,B,Female,Yes,3,High,14.0,Pass,Low,2,24.0,3
Yes,21.0,72.0,72.0,1,1,52.0,Yes,D,Female,Yes,2,High,11.0,Fail,Low,2,24.0,3
No,20.0,74.0,72.0,1,1,72.0,No,B,Female,Yes,3,Medium,14.0,Pass,Medium,2,24.0,3
No,21.0,72.0,72.0,1,1,52.0,No,D,Female,Yes,2,Medium,11.0,Fail,Medium,2,24.0,3
Yes,20.0,74.0,72.0,1,1,72.0,Yes,B,Female,Yes,3,Low,14.0,Pass,Medium,2,24.0,3
Yes,21.0,72.0,72.0,1,1,52.0,Yes,D,Female,Yes,2,Low,11.0,Fail,Medium,2,24.0,3
No,20.0,74.0,72.0,1,1,72.0,No,B,Female,Yes,3,Medium,14.0,Pass,High,2,24.0,3
No,21.0,72.0,72.0,1,1,52.0,No,D,Female,Yes,2,Medium,11.0,Fail,High,2,24.0,3
Yes,21.0,76.0,77.0,1,<Na>,87.0,Yes,A,Female,Yes,3,Medium,5.0,Pass,High,2,33.0,2
Yes,21.0,75.0,77.0,1,1,77.0,Yes,B,Female,Yes,3,Medium,5.0,Pass,High,2,33.0,2
Yes,26.0,65.0,96.0,<Na>,1,65.0,Yes,C,Female,Yes,3,High,17.0,Pass,Low,2,14.0,1
Yes,18.0,51.0,96.0,<Na>,<Na>,93.0,Yes,A,Female,Yes,<Na>,High,6.0,Pass,Low,<Na>,14.0,3
Yes,26.0,65.0,96.0,<Na>,1,65.0,Yes,C,Female,Yes,3,Low,17.0,Pass,High,2,14.0,1
Yes,18.0,51.0,96.0,<Na>,<Na>,93.0,Yes,A,Female,Yes,<Na>,Low,6.0,Pass,High,<Na>,14.0,3
No,26.0,65.0,96.0,<Na>,1,65.0,No,C,Female,Yes,3,Medium,17.0,Pass,High,2,14.0,1
No,18.0,51.0,96.0,<Na>,<Na>,93.0,No,A,Female,Yes,<Na>,Medium,6.0,Pass,High,<Na>,14.0,3
Yes,22.0,82.0,94.0,<Na>,1,98.0,Yes,A,Male,Yes,3,Low,18.0,Pass,Medium,2,13.0,2
Yes,25.0,99.0,94.0,<Na>,<Na>,55.0,Yes,C,Male,Yes,3,Low,7.0,Pass,Medium,1,13.0,0
Yes,22.0,82.0,94.0,<Na>,1,98.0,Yes,A,Male,Yes,3,High,18.0,Pass,High,2,13.0,2
Yes,25.0,99.0,94.0,<Na>,<Na>,55.0,Yes,C,Male,Yes,3,High,7.0,Pass,High,1,13.0,0
Yes,22.0,82.0,94.0,<Na>,1,98.0,Yes,A,Male,Yes,3,Medium,18.0,Pass,High,2,13.0,2
Yes,25.0,99.0,94.0,<Na>,<Na>,55.0,Yes,C,Male,Yes,3,Medium,7.0,Pass,High,1,13.0,0
Yes,22.0,82.0,94.0,<Na>,1,98.0,Yes,A,Male,Yes,3,High,18.0,Pass,Medium,2,13.0,2
Yes,25.0,99.0,94.0,<Na>,<Na>,55.0,Yes,C,Male,Yes,3,High,7.0,Pass,Medium,1,13.0,0
Yes,29.0,96.0,81.0,<Na>,1,94.0,Yes,A,Female,Yes,1,Medium,1.0,Pass,Medium,1,27.0,2
Yes,22.0,53.0,81.0,<Na>,1,98.0,Yes,A,Female,Yes,3,Medium,6.0,Pass,Medium,1,27.0,1
Yes,24.0,83.0,81.0,1,1,73.0,Yes,B,Female,Yes,1,Medium,16.0,Pass,Medium,<Na>,27.0,2
Yes,29.0,96.0,81.0,<Na>,1,94.0,Yes,A,Female,Yes,1,Low,1.0,Pass,Low,1,27.0,2
Yes,22.0,53.0,81.0,<Na>,1,98.0,Yes,A,Female,Yes,3,Low,6.0,Pass,Low,1,27.0,1
Yes,24.0,83.0,81.0,1,1,73.0,Yes,B,Female,Yes,1,Low,16.0,Pass,Low,<Na>,27.0,2
Yes,29.0,96.0,81.0,<Na>,1,94.0,Yes,A,Female,Yes,1,Low,1.0,Pass,Medium,1,27.0,2
Yes,22.0,53.0,81.0,<Na>,1,98.0,Yes,A,Female,Yes,3,Low,6.0,Pass,Medium,1,27.0,1
Yes,24.0,83.0,81.0,1,1,73.0,Yes,B,Female,Yes,1,Low,16.0,Pass,Medium,<Na>,27.0,2
Yes,29.0,96.0,81.0,<Na>,1,94.0,Yes,A,Female,Yes,1,Medium,1.0,Pass,High,1,27.0,2
Yes,22.0,53.0,81.0,<Na>,1,98.0,Yes,A,Female,Yes,3,Medium,6.0,Pass,High,1,27.0,1
Yes,24.0,83.0,81.0,1,1,73.0,Yes,B,Female,Yes,1,Medium,16.0,Pass,High,<Na>,27.0,2
Yes,26.0,60.0,88.0,1,<Na>,83.0,Yes,B,Male,Yes,2,Low,20.0,Pass,Medium,<Na>,25.0,1
Yes,22.0,53.0,88.0,<Na>,1,45.0,Yes,D,Male,Yes,<Na>,Low,4.0,Fail,Medium,2,25.0,3
Yes,27.0,63.0,88.0,1,1,82.0,Yes,B,Male,Yes,1,Low,5.0,Pass,Medium,2,25.0,1
Yes,26.0,60.0,88.0,1,<Na>,83.0,Yes,B,Male,Yes,2,Low,20.0,Pass,High,<Na>,25.0,1
Yes,22.0,53.0,88.0,<Na>,1,45.0,Yes,D,Male,Yes,<Na>,Low,4.0,Fail,High,2,25.0,3
Yes,27.0,63.0,88.0,1,1,82.0,Yes,B,Male,Yes,1,Low,5.0,Pass,High,2,25.0,1
Yes,26.0,60.0,88.0,1,<Na>,83.0,Yes,B,Male,No,2,Low,20.0,Pass,Medium,<Na>,25.0,1
Yes,22.0,53.0,88.0,<Na>,1,45.0,Yes,D,Male,No,<Na>,Low,4.0,Fail,Medium,2,25.0,3
Yes,27.0,63.0,88.0,1,1,82.0,Yes,B,Male,No,1,Low,5.0,Pass,Medium,2,25.0,1
Yes,21.0,85.0,95.0,1,<Na>,95.0,Yes,A,Male,Yes,3,High,18.0,Pass,High,1,24.0,2
Yes,29.0,67.0,95.0,<Na>,1,87.0,Yes,A,Male,Yes,2,High,3.0,Pass,High,2,24.0,1
Yes,21.0,85.0,95.0,1,<Na>,95.0,Yes,A,Male,Yes,3,Medium,18.0,Pass,Low,1,24.0,2
Yes,29.0,67.0,95.0,<Na>,1,87.0,Yes,A,Male,Yes,2,Medium,3.0,Pass,Low,2,24.0,1
Yes,21.0,85.0,95.0,1,<Na>,95.0,Yes,A,Male,No,3,Medium,18.0,Pass,Low,1,24.0,2
Yes,29.0,67.0,95.0,<Na>,1,87.0,Yes,A,Male,No,2,Medium,3.0,Pass,Low,2,24.0,1
Yes,21.0,85.0,95.0,1,<Na>,95.0,Yes,A,Male,Yes,3,Medium,18.0,Pass,Medium,1,24.0,2
Yes,29.0,67.0,95.0,<Na>,1,87.0,Yes,A,Male,Yes,2,Medium,3.0,Pass,Medium,2,24.0,1
No,21.0,85.0,95.0,1,<Na>,95.0,No,A,Male,Yes,3,Medium,18.0,Pass,Low,1,24.0,2
No,29.0,67.0,95.0,<Na>,1,87.0,No,A,Male,Yes,2,Medium,3.0,Pass,Low,2,24.0,1
Yes,21.0,85.0,95.0,1,<Na>,95.0,Yes,A,Male,Yes,3,Low,18.0,Pass,High,1,24.0,2
Yes,29.0,67.0,95.0,<Na>,1,87.0,Yes,A,Male,Yes,2,Low,3.0,Pass,High,2,24.0,1
No,21.0,85.0,95.0,1,<Na>,95.0,No,A,Male,Yes,3,Low,18.0,Pass,Medium,1,24.0,2
No,29.0,67.0,95.0,<Na>,1,87.0,No,A,Male,Yes,2,Low,3.0,Pass,Medium,2,24.0,1
Yes,27.0,52.0,80.0,<Na>,1,42.0,Yes,D,Female,Yes,<Na>,High,9.0,Fail,High,2,24.0,0
Yes,19.0,100.0,80.0,1,1,50.0,Yes,D,Female,Yes,3,High,4.0,Fail,High,<Na>,24.0,2
Yes,27.0,52.0,80.0,<Na>,1,42.0,Yes,D,Female,Yes,<Na>,Medium,9.0,Fail,Low,2,24.0,0
Yes,19.0,100.0,80.0,1,1,50.0,Yes,D,Female,Yes,3,Medium,4.0,Fail,Low,<Na>,24.0,2
Yes,27.0,52.0,80.0,<Na>,1,42.0,Yes,D,Female,Yes,<Na>,Medium,9.0,Fail,High,2,24.0,0
Yes,19.0,100.0,80.0,1,1,50.0,Yes,D,Female,Yes,3,Medium,4.0,Fail,High,<Na>,24.0,2
No,27.0,52.0,80.0,<Na>,1,42.0,No,D,Female,Yes,<Na>,Medium,9.0,Fail,High,2,24.0,0
No,19.0,100.0,80.0,1,1,50.0,No,D,Female,Yes,3,Medium,4.0,Fail,High,<Na>,24.0,2
Yes,27.0,52.0,80.0,<Na>,1,42.0,Yes,D,Female,Yes,<Na>,Low,9.0,Fail,High,2,24.0,0
Yes,19.0,100.0,80.0,1,1,50.0,Yes,D,Female,Yes,3,Low,4.0,Fail,High,<Na>,24.0,2
Yes,27.0,52.0,80.0,<Na>,1,42.0,Yes,D,Female,Yes,<Na>,Medium,9.0,Fail,Medium,2,24.0,0
Yes,19.0,100.0,80.0,1,1,50.0,Yes,D,Female,Yes,3,Medium,4.0,Fail,Medium,<Na>,24.0,2
Yes,20.0,85.0,90.0,1,1,95.0,Yes,A,Female,Yes,<Na>,Medium,13.0,Pass,Medium,<Na>,15.0,2
Yes,20.0,85.0,90.0,1,1,95.0,Yes,A,Female,Yes,<Na>,High,13.0,Pass,High,<Na>,15.0,2
Yes,19.0,76.0,76.0,1,1,65.0,Yes,C,Male,No,3,Medium,2.0,Pass,High,<Na>,16.0,3
Yes,23.0,70.0,76.0,1,1,83.0,Yes,B,Male,No,2,Medium,2.0,Pass,High,2,16.0,1
Yes,23.0,95.0,76.0,1,<Na>,63.0,Yes,C,Male,No,<Na>,Medium,3.0,Pass,High,2,16.0,0
Yes,19.0,96.0,76.0,1,1,81.0,Yes,B,Male,No,3,Medium,19.0,Pass,High,2,16.0,2
No,19.0,76.0,76.0,1,1,65.0,No,C,Male,Yes,3,High,2.0,Pass,Low,<Na>,16.0,3
No,23.0,70.0,76.0,1,1,83.0,No,B,Male,Yes,2,High,2.0,Pass,Low,2,16.0,1
No,23.0,95.0,76.0,1,<Na>,63.0,No,C,Male,Yes,<Na>,High,3.0,Pass,Low,2,16.0,0
No,19.0,96.0,76.0,1,1,81.0,No,B,Male,Yes,3,High,19.0,Pass,Low,2,16.0,2
No,19.0,76.0,76.0,1,1,65.0,No,C,Male,Yes,3,High,2.0,Pass,Medium,<Na>,16.0,3
No,23.0,70.0,76.0,1,1,83.0,No,B,Male,Yes,2,High,2.0,Pass,Medium,2,16.0,1
No,23.0,95.0,76.0,1,<Na>,63.0,No,C,Male,Yes,<Na>,High,3.0,Pass,Medium,2,16.0,0
No,19.0,96.0,76.0,1,1,81.0,No,B,Male,Yes,3,High,19.0,Pass,Medium,2,16.0,2
No,19.0,76.0,76.0,1,1,65.0,No,C,Male,Yes,3,Medium,2.0,Pass,Medium,<Na>,16.0,3
No,23.0,70.0,76.0,1,1,83.0,No,B,Male,Yes,2,Medium,2.0,Pass,Medium,2,16.0,1
No,23.0,95.0,76.0,1,<Na>,63.0,No,C,Male,Yes,<Na>,Medium,3.0,Pass,Medium,2,16.0,0
No,19.0,96.0,76.0,1,1,81.0,No,B,Male,Yes,3,Medium,19.0,Pass,Medium,2,16.0,2
No,20.0,68.0,95.0,1,1,63.0,No,C,Female,Yes,2,Medium,0.0,Pass,High,<Na>,26.0,3
No,21.0,74.0,95.0,<Na>,<Na>,75.0,No,B,Female,Yes,2,Medium,14.0,Pass,High,<Na>,26.0,3
No,29.0,93.0,95.0,<Na>,1,54.0,No,D,Female,Yes,1,Medium,14.0,Fail,High,2,26.0,0
No,20.0,68.0,95.0,1,1,63.0,No,C,Female,Yes,2,Low,0.0,Pass,High,<Na>,26.0,3
No,21.0,74.0,95.0,<Na>,<Na>,75.0,No,B,Female,Yes,2,Low,14.0,Pass,High,<Na>,26.0,3
No,29.0,93.0,95.0,<Na>,1,54.0,No,D,Female,Yes,1,Low,14.0,Fail,High,2,26.0,0
Yes,20.0,68.0,95.0,1,1,63.0,Yes,C,Female,Yes,2,Medium,0.0,Pass,Low,<Na>,26.0,3
Yes,21.0,74.0,95.0,<Na>,<Na>,75.0,Yes,B,Female,Yes,2,Medium,14.0,Pass,Low,<Na>,26.0,3
Yes,29.0,93.0,95.0,<Na>,1,54.0,Yes,D,Female,Yes,1,Medium,14.0,Fail,Low,2,26.0,0
Yes,19.0,90.0,76.0,1,<Na>,55.0,Yes,C,Female,Yes,<Na>,Low,3.0,Pass,Medium,2,15.0,3
Yes,25.0,55.0,76.0,1,1,79.0,Yes,B,Female,Yes,1,Low,11.0,Pass,Medium,2,15.0,1
Yes,19.0,90.0,76.0,1,<Na>,55.0,Yes,C,Female,Yes,<Na>,Medium,3.0,Pass,High,2,15.0,3
Yes,25.0,55.0,76.0,1,1,79.0,Yes,B,Female,Yes,1,Medium,11.0,Pass,High,2,15.0,1
No,20.0,59.0,69.0,<Na>,<Na>,74.0,No,B,Male,Yes,2,Low,4.0,Pass,High,2,18.0,3
No,21.0,99.0,69.0,<Na>,1,92.0,No,A,Male,Yes,3,Low,14.0,Pass,High,2,18.0,2
No,28.0,80.0,69.0,1,1,94.0,No,A,Male,Yes,2,Low,5.0,Pass,High,<Na>,18.0,1
No,27.0,53.0,69.0,<Na>,1,78.0,No,B,Male,Yes,<Na>,Low,1.0,Pass,High,<Na>,18.0,1
No,20.0,66.0,69.0,<Na>,<Na>,85.0,No,A,Male,Yes,2,Low,5.0,Pass,High,<Na>,18.0,1
Yes,20.0,59.0,69.0,<Na>,<Na>,74.0,Yes,B,Male,Yes,2,Medium,4.0,Pass,Medium,2,18.0,3
Yes,21.0,99.0,69.0,<Na>,1,92.0,Yes,A,Male,Yes,3,Medium,14.0,Pass,Medium,2,18.0,2
Yes,28.0,80.0,69.0,1,1,94.0,Yes,A,Male,Yes,2,Medium,5.0,Pass,Medium,<Na>,18.0,1
Yes,27.0,53.0,69.0,<Na>,1,78.0,Yes,B,Male,Yes,<Na>,Medium,1.0,Pass,Medium,<Na>,18.0,1
Yes,20.0,66.0,69.0,<Na>,<Na>,85.0,Yes,A,Male,Yes,2,Medium,5.0,Pass,Medium,<Na>,18.0,1
Yes,20.0,59.0,69.0,<Na>,<Na>,74.0,Yes,B,Male,Yes,2,High,4.0,Pass,High,2,18.0,3
Yes,21.0,99.0,69.0,<Na>,1,92.0,Yes,A,Male,Yes,3,High,14.0,Pass,High,2,18.0,2
Yes,28.0,80.0,69.0,1,1,94.0,Yes,A,Male,Yes,2,High,5.0,Pass,High,<Na>,18.0,1
Yes,27.0,53.0,69.0,<Na>,1,78.0,Yes,B,Male,Yes,<Na>,High,1.0,Pass,High,<Na>,18.0,1
Yes,20.0,66.0,69.0,<Na>,<Na>,85.0,Yes,A,Male,Yes,2,High,5.0,Pass,High,<Na>,18.0,1
Yes,20.0,59.0,69.0,<Na>,<Na>,74.0,Yes,B,Male,Yes,2,Low,4.0,Pass,High,2,18.0,3
Yes,21.0,99.0,69.0,<Na>,1,92.0,Yes,A,Male,Yes,3,Low,14.0,Pass,High,2,18.0,2
Yes,28.0,80.0,69.0,1,1,94.0,Yes,A,Male,Yes,2,Low,5.0,Pass,High,<Na>,18.0,1
Yes,27.0,53.0,69.0,<Na>,1,78.0,Yes,B,Male,Yes,<Na>,Low,1.0,Pass,High,<Na>,18.0,1
Yes,20.0,66.0,69.0,<Na>,<Na>,85.0,Yes,A,Male,Yes,2,Low,5.0,Pass,High,<Na>,18.0,1
Yes,20.0,59.0,69.0,<Na>,<Na>,74.0,Yes,B,Male,Yes,2,Low,4.0,Pass,Low,2,18.0,3
Yes,21.0,99.0,69.0,<Na>,1,92.0,Yes,A,Male,Yes,3,Low,14.0,Pass,Low,2,18.0,2
